Player,PlayerId,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,ShootingPercent,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Percent
Lawson Crouse,crousla01,2020,22,ARI,LW,63,14,10,24,1,28,2.7,13,0,1,2,10,0,0,105,13.3,860,13:39,26,189,24,23,51.1
Austin Czarnik,czarnau01,2020,27,CGY,C,8,2,1,3,1,0,0.4,1,1,0,0,1,0,0,9,22.2,82,10:11,2,1,2,4,33.3
Kirby Dach,dachki01,2020,19,CHI,C,59,8,12,20,-3,20,1.3,8,0,0,2,9,3,0,96,8.3,838,14:12,22,28,56,116,32.6
Evgenii Dadonov,dadonev01,2020,30,FLA,RW,66,25,21,46,-7,8,4.8,14,11,0,2,16,5,0,161,15.5,1131,17:08,22,29,0,0,
Rasmus Dahlin,dahlira01,2020,19,BUF,D,55,4,33,37,-6,38,4.7,2,2,0,1,17,16,0,84,4.8,1053,19:09,47,67,0,0,
Carl Dahlstrom,dahlsca01,2020,25,WPG,D,15,0,1,1,-4,6,0,0,0,0,0,1,0,0,9,0,221,14:46,13,5,0,0,
Michael Dal Colle,dalcomi01,2020,23,NYI,LW,50,4,6,10,-7,12,0.2,4,0,0,0,6,0,0,53,7.5,591,11:49,19,78,5,2,71.4
Trevor Daley,daleytr01,2020,36,DET,D,40,0,6,6,-24,20,-0.2,0,0,0,0,4,2,0,35,0,633,15:49,44,9,0,0,
Phillip Danault,danauph01,2020,26,MTL,LW,67,13,32,45,19,32,4.6,12,1,0,1,29,3,0,124,10.5,1260,18:49,36,112,690,566,54.9
Marko Daňo,danoma01,2020,25,CBJ,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0,22,7:10,3,5,0,0,
Brandon Davidson,davidbr01,2020,28,CGY,D,7,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,13,0,86,12:16,15,10,0,0,
Jonathan Davidsson,davidjo03,2020,22,OTT,RW,6,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,33,5:31,1,5,0,0,
Calvin de Haan,dehaaca01,2020,28,CHI,D,29,1,5,6,10,10,1.9,1,0,0,0,5,0,0,42,2.4,577,19:55,73,93,0,0,
Jacob de La Rose,delarja01,2020,24,TOT,LW,49,2,7,9,2,8,0.4,2,0,0,0,7,0,0,46,4.3,527,10:45,16,116,118,155,43.2
Jacob de La Rose,delarja01,2020,24,STL,LW,33,1,4,5,-1,4,0,1,0,0,0,4,0,0,31,3.2,331,10:03,7,84,63,79,44.4
Jacob de La Rose,delarja01,2020,24,DET,LW,16,1,3,4,3,4,0.4,1,0,0,0,3,0,0,15,6.7,196,12:13,9,32,55,76,42
Chase De Leo,deleoch01,2020,24,ANA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,14:59,0,1,0,1,0
Jean-Sebastien Dea,deaje01,2020,25,BUF,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7:38,0,3,1,1,50,
Anthony DeAngelo,deangan01,2020,24,NYR,D,63,13,36,49,12,47,7.8,10,3,0,3,21,15,0,133,9.8,1201,19:04,54,45,0,0,
Alex DeBrincat,debrial01,2020,22,CHI,RW,65,16,24,40,-13,13,3.2,6,10,0,3,20,4,0,187,8.6,1139,17:31,18,58,7,12,36.8
Jake Debrusk,debruja01,2020,23,BOS,LW,61,18,16,34,-1,14,3.6,11,7,0,4,13,3,0,148,12.2,977,16:01,15,34,9,16,36
Danny DeKeyser,dekeyda01,2020,29,DET,D,8,0,4,4,0,4,0.7,0,0,0,0,4,0,0,12,0,176,22:04,18,6,0,0,
Michael Del Zotto,delzomi01,2020,29,ANA,D,43,2,11,13,1,14,2.5,2,0,0,0,10,1,0,51,3.9,790,18:22,50,90,0,0,
Dylan DeMelo,demeldy01,2020,26,TOT,D,55,0,10,10,1,35,2,0,0,0,0,8,0,2,70,0,1105,20:06,71,99,0,0,
Dylan DeMelo,demeldy01,2020,26,OTT,D,49,0,10,10,3,31,2,0,0,0,0,8,0,2,64,0,976,19:55,63,94,0,0,
Dylan DeMelo,demeldy01,2020,26,WPG,D,6,0,0,0,-2,4,0,0,0,0,0,0,0,0,6,0,129,21:33,8,5,0,0,
Jason Demers,demerja01,2020,31,ARI,D,47,0,10,10,5,23,2.7,0,0,0,0,9,0,1,50,0,973,20:42,67,69,0,0,
Travis Dermott,dermotr01,2020,23,TOR,D,52,4,7,11,16,35,2.9,4,0,0,1,7,0,0,61,6.6,876,16:51,52,71,0,0,
Nicolas Deslauriers,deslani01,2020,28,ANA,LW,53,4,5,9,-3,82,0.4,4,0,0,0,5,0,0,56,7.1,515,9:43,27,127,0,0,
Phillip Di Giuseppe,digiuph01,2020,26,NYR,LW,15,1,2,3,1,0,0.1,1,0,0,0,2,0,0,26,3.8,170,11:20,12,34,0,2,0
Thomas Di Pauli,dipauth01,2020,25,PIT,C,2,0,0,0,-3,10,-0.1,0,0,0,0,0,0,0,2,0,12,5:59,1,4,0,0,
Jason Dickinson,dickija01,2020,24,DAL,C,61,9,12,21,8,6,2,9,0,0,1,11,0,1,78,11.5,911,14:57,53,83,178,231,43.5
Brenden Dillon,dillobr01,2020,29,TOT,D,65,1,13,14,1,96,3.3,1,0,0,0,12,0,1,55,1.8,1262,19:25,71,191,0,0,
Brenden Dillon,dillobr01,2020,29,SJS,D,59,1,13,14,0,83,3.2,1,0,0,0,12,0,1,48,2.1,1142,19:22,67,178,0,0,
Brenden Dillon,dillobr01,2020,29,WSH,D,6,0,0,0,1,13,0.1,0,0,0,0,0,0,0,7,0,120,19:59,4,13,0,0,
Christian Djoos,djoosch01,2020,25,TOT,D,5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4,0,73,14:30,3,1,0,0,
Christian Djoos,djoosch01,2020,25,ANA,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,0,55,18:13,3,1,0,0,
Christian Djoos,djoosch01,2020,25,WSH,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,18,8:57,0,0,0,0,
Noah Dobson,dobsono01,2020,20,NYI,D,31,1,4,5,-3,6,0.9,1,0,0,0,3,1,0,33,3,412,13:18,28,21,0,0,
Max Domi,domima01,2020,24,MTL,LW,67,17,27,44,0,31,4.4,16,1,0,3,17,10,0,168,10.1,1144,17:05,11,29,374,380,49.6
Ryan Donato,donatry01,2020,23,MIN,C,58,14,9,23,9,12,3,14,0,0,1,7,2,0,90,15.6,617,10:38,11,45,40,62,39.2
Joonas Donskoi,donskjo01,2020,27,COL,RW,60,15,17,32,5,24,3.1,11,4,0,1,16,1,0,105,14.3,983,16:23,37,24,9,10,47.4
Drew Doughty,doughdr01,2020,30,LAK,D,63,7,25,32,-20,30,4.7,2,5,0,2,15,9,1,130,5.4,1625,25:48:00,83,101,0,0,
Nic Dowd,dowdni01,2020,29,WSH,C,52,5,6,11,6,24,0.9,3,0,2,1,6,0,0,48,10.4,558,10:44,22,109,249,250,49.9
Justin Dowling,dowliju01,2020,29,DAL,C,27,3,3,6,-2,8,0.4,3,0,0,1,3,0,0,29,10.3,302,11:11,12,25,41,52,44.1
Leon Draisaitl,draisle01,2020,24,EDM,C,66,43,64,107,-6,16,12.7,27,16,0,10,37,27,0,209,20.6,1493,22:37,19,25,600,562,51.6
Sheldon Dries,driessh01,2020,25,COL,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,24,7:55,2,14,1,2,33.3
Jonathan Drouin,drouijo01,2020,24,MTL,LW,27,7,8,15,-6,14,1.3,6,1,0,1,5,3,0,51,13.7,424,15:42,5,25,4,8,33.3
Dillon Dube,dubedi01,2020,21,CGY,C,42,5,10,15,0,6,1.2,5,0,0,2,9,1,0,58,8.6,534,12:43,13,53,0,2,0
Pierre-Luc Dubois,duboipi01,2020,21,CBJ,LW,67,18,29,47,0,47,4.9,17,1,0,4,20,9,0,151,11.9,1201,17:55,48,83,341,420,44.8
Matt Duchene,duchema01,2020,29,NSH,C,62,12,28,40,-3,24,3.2,8,4,0,1,23,5,0,132,9.1,1046,16:52,19,39,358,284,55.8
Anthony Duclair,duclaan01,2020,24,OTT,LW,62,22,15,37,-10,18,4,15,5,2,2,12,3,0,175,12.6,1010,16:17,36,52,3,2,60
Mathew Dumba,dumbama01,2020,25,MIN,D,65,6,18,24,-5,39,3.7,5,1,0,1,10,7,1,162,3.7,1468,22:35,83,89,0,0,
Gabriel Dumont,dumonga01,2020,29,MIN,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,35,11:30,2,9,6,9,40
Brian Dumoulin,dumoubr01,2020,28,PIT,D,23,1,6,7,17,8,2.6,0,0,1,0,5,1,0,33,3,484,21:04,27,39,0,0,
Vince Dunn,dunnvi02,2020,23,STL,D,66,8,14,22,16,22,5,5,3,0,1,8,6,0,128,6.3,1079,16:21,45,47,0,0,
Christian Dvorak,dvorach01,2020,23,ARI,C,67,18,20,38,8,12,4.4,12,6,0,2,16,4,0,130,13.8,1119,16:42,33,39,499,403,55.3
Ryan Dzingel,dzingry01,2020,27,CAR,C,62,8,21,29,4,23,2.4,4,4,0,1,16,5,0,95,8.4,882,14:13,24,33,9,20,31
Cody Eakin,eakinco01,2020,28,TOT,C,45,4,7,11,-8,16,0.1,4,0,0,0,6,1,0,55,7.3,657,14:36,15,48,279,311,47.3
Cody Eakin,eakinco01,2020,28,VEG,C,41,4,6,10,-9,16,0,4,0,0,0,5,1,0,53,7.5,601,14:39,14,41,258,286,47.4
Cody Eakin,eakinco01,2020,28,WPG,C,4,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,56,14:06,1,7,21,25,45.7
Jordan Eberle,eberljo01,2020,29,NYI,RW,54,15,22,37,3,12,3.9,11,4,0,1,16,6,0,125,12,946,17:31,38,31,0,6,0
Alexander Edler,edleral01,2020,33,VAN,D,55,5,25,30,10,60,5.2,4,1,0,1,19,6,0,107,4.7,1246,22:39,150,100,0,0,
Joel Edmundson,edmunjo01,2020,26,CAR,D,64,6,13,19,5,70,3.9,6,0,0,0,13,0,0,88,6.8,1166,18:14,83,106,0,0,
Nikolaj Ehlers,ehlerni01,2020,23,WPG,LW,67,23,29,52,9,30,5.9,19,3,1,4,28,1,0,196,11.7,1115,16:39,26,35,0,2,0
Christoffer Ehn,ehnch01,2020,23,DET,C,53,1,2,3,-22,2,-1.1,1,0,0,0,2,0,0,35,2.9,554,10:27,18,58,96,130,42.5
Jack Eichel,eicheja01,2020,23,BUF,C,64,35,42,77,8,34,9.5,24,10,1,9,26,16,0,217,16.1,1410,22:02,41,40,582,649,47.3
Aaron Ekblad,ekblaaa01,2020,23,FLA,D,64,5,34,39,7,24,5.5,5,0,0,1,27,6,1,145,3.4,1467,22:55,79,33,0,0,
Mattias Ekholm,ekholma01,2020,29,NSH,D,64,8,25,33,1,32,4.8,7,0,1,2,19,5,1,146,5.5,1501,23:27,94,48,0,0,
Oliver Ekman-Larsson,ekmanol01,2020,28,ARI,D,63,8,19,27,-3,38,5.2,5,2,1,1,14,5,0,130,6.2,1448,22:59,63,121,0,0,
Lars Eller,ellerla01,2020,30,WSH,C,65,15,22,37,1,42,3.4,12,2,1,1,17,4,1,145,10.3,1109,17:04,40,52,507,469,51.9
Ryan Ellis,ellisry01,2020,29,NSH,D,45,7,29,36,15,15,5.9,6,1,0,2,22,7,0,106,6.6,1056,23:27,83,41,0,0,
Deryk Engelland,engelde01,2020,37,VEG,D,49,1,5,6,6,37,1.7,1,0,0,1,4,0,1,59,1.7,860,17:33,86,114,0,0,
Andreas Englund,engluan01,2020,24,OTT,D,19,0,2,2,-6,12,-0.1,0,0,0,0,2,0,0,8,0,194,10:12,9,42,0,0,
Pierre Engvall,engvapi01,2020,23,TOR,LW,44,8,7,15,5,6,1.5,7,0,1,3,6,0,1,66,12.1,531,12:04,9,27,40,63,38.8
Tyler Ennis,ennisty01,2020,30,TOT,C,65,15,21,36,-3,18,3.5,10,5,0,1,16,5,0,148,10.1,958,14:44,23,87,6,8,42.9
Tyler Ennis,ennisty01,2020,30,OTT,C,61,14,19,33,-5,16,3.1,9,5,0,1,14,5,0,139,10.1,897,14:42,22,76,6,8,42.9
Tyler Ennis,ennisty01,2020,30,EDM,C,4,1,2,3,2,2,0.4,1,0,0,0,2,0,0,9,11.1,61,15:08,1,11,0,0,
Jonathan Ericsson,ericsjo01,2020,35,DET,D,15,0,0,0,-11,0,-0.5,0,0,0,0,0,0,0,15,0,226,15:03,12,21,0,0,
Loui Eriksson,erikslo01,2020,34,VAN,LW,46,6,6,12,-1,12,0.8,6,0,0,0,6,0,0,57,10.5,570,12:24,14,9,1,0,100
Joel Eriksson Ek,eriksjo02,2020,23,MIN,C,58,8,20,28,7,20,2.3,7,1,0,4,19,0,1,97,8.2,907,15:39,40,88,343,394,46.5
Adam Erne,ernead01,2020,24,DET,LW,56,2,3,5,-24,28,-1,2,0,0,0,3,0,0,63,3.2,662,11:49,25,142,20,13,60.6
Jake Evans,evansja02,2020,23,MTL,C,9,1,0,1,1,0,0.1,1,0,0,0,0,0,0,7,14.3,87,9:42,3,14,17,11,60.7
Robby Fabbri,fabbrro01,2020,24,TOT,C,58,13,17,30,-31,14,1.9,8,5,0,2,14,3,0,104,12.5,927,15:59,14,70,17,29,37
Robby Fabbri,fabbrro01,2020,24,DET,C,49,12,17,29,-27,12,2,7,5,0,2,14,3,0,97,12.4,840,17:09,13,58,16,29,35.6
Robby Fabbri,fabbrro01,2020,24,STL,C,9,1,0,1,-4,2,-0.1,1,0,0,0,0,0,0,7,14.3,87,9:42,1,12,1,0,100
Dante Fabbro,fabbrda01,2020,21,NSH,D,60,5,6,11,-5,36,1.6,4,1,0,0,6,0,0,88,5.7,1140,19:00,80,50,0,0,
Radek Faksa,faksara01,2020,26,DAL,C,62,11,9,20,-6,40,1.5,8,3,0,3,9,0,0,101,10.9,989,15:57,43,77,380,388,49.5
Oscar Fantenberg,fanteos01,2020,28,VAN,D,32,1,3,4,-7,6,0.4,1,0,0,0,2,1,0,43,2.3,511,15:59,56,61,0,0,
Joel Farabee,farabjo01,2020,19,PHI,LW,49,7,13,20,5,39,1.7,6,1,0,1,12,1,0,74,9.5,697,14:13,16,30,3,7,30
Jesper Fast,fastje01,2020,28,NYR,RW,64,12,16,28,15,20,2.6,10,0,2,1,16,0,0,79,15.2,1061,16:35,48,114,8,17,32
Justin Faulk,faulkju01,2020,27,STL,D,66,5,10,15,-5,30,2.6,4,1,0,1,7,2,1,138,3.6,1356,20:33,70,74,0,0,
Taylor Fedun,fedunta01,2020,31,DAL,D,27,2,7,9,3,8,1.9,2,0,0,0,7,0,0,40,5,371,13:45,19,16,0,0,
Martin Fehervary,feherma01,2020,20,WSH,D,6,0,1,1,-2,6,0,0,0,0,0,1,0,0,7,0,96,15:59,2,14,0,0,
Micheal Ferland,ferlami01,2020,27,VAN,LW,14,1,4,5,-3,7,0.2,1,0,0,0,4,0,0,15,6.7,137,9:48,2,40,2,0,100
Mario Ferraro,ferrama01,2020,21,SJS,D,59,2,9,11,-13,28,1.7,2,0,0,0,8,0,1,59,3.4,927,15:43,56,112,0,0,
Kevin Fiala,fialake01,2020,23,MIN,LW,60,20,29,49,0,40,5.4,13,7,0,2,20,9,0,154,13,911,15:11,16,25,2,7,22.2
Valtteri Filppula,filppva01,2020,35,DET,C,67,6,15,21,-42,24,-0.3,4,1,1,0,11,4,0,62,9.7,1112,16:35,27,27,311,381,44.9
Christian Fischer,fischch01,2020,22,ARI,RW,55,6,3,9,3,16,0.8,6,0,0,1,3,0,0,82,7.3,607,11:02,22,136,3,7,30
Cale Fleury,fleurca01,2020,21,MTL,D,41,1,0,1,-4,6,0.4,1,0,0,0,0,0,0,45,2.2,588,14:21,45,102,0,0,
Haydn Fleury,fleurha01,2020,23,CAR,D,41,4,7,11,-3,6,1.7,4,0,0,0,6,0,1,62,6.5,537,13:06,39,43,0,0,
Warren Foegele,foegewa01,2020,23,CAR,LW,64,13,16,29,9,30,3.1,10,0,3,1,16,0,0,125,10.4,885,13:49,16,59,18,21,46.2
Steven Fogarty,fogarst01,2020,26,NYR,C,6,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,33,5:26,3,4,3,1,75
Marcus Foligno,foligma01,2020,28,MIN,LW,55,10,12,22,4,26,2,10,0,0,0,12,0,0,79,12.7,804,14:38,34,175,9,14,39.1
Nick Foligno,foligni01,2020,32,CBJ,LW,64,10,20,30,-1,62,2.3,8,2,0,1,17,2,1,129,7.8,1189,18:35,48,202,148,156,48.7
Christian Folin,folinch01,2020,28,MTL,D,12,1,1,2,0,4,0.5,1,0,0,0,1,0,0,11,9.1,175,14:33,14,28,0,0,
Derek Forbort,forbode01,2020,27,TOT,D,17,0,1,1,-4,4,0.2,0,0,0,0,1,0,0,21,0,304,17:54,24,35,0,0,
Derek Forbort,forbode01,2020,27,LAK,D,13,0,1,1,-4,4,0.1,0,0,0,0,1,0,0,15,0,232,17:51,17,27,0,0,
Derek Forbort,forbode01,2020,27,CGY,D,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,6,0,72,18:05,7,8,0,0,
Filip Forsberg,forsbfi01,2020,25,NSH,C,59,18,25,43,-7,27,4,13,5,0,0,19,6,0,184,9.8,1025,17:22,22,78,1,2,33.3
Liam Foudy,foudyli01,2020,19,CBJ,C,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0,28,14:13,0,3,0,0,
Cam Fowler,fowleca01,2020,28,ANA,D,59,9,20,29,0,20,5.4,7,2,0,2,14,6,0,117,7.7,1297,21:59,58,25,0,0,
Adam Fox,foxad01,2020,21,NYR,D,65,7,28,35,20,28,6.4,6,1,0,4,16,12,0,120,5.8,1223,18:49,86,32,0,0,
Trent Frederic,fredetr01,2020,21,BOS,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,13,6:26,0,8,0,0,
Mark Friedman,friedma01,2020,24,PHI,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,2,0,82,13:35,5,8,0,0,
Martin Frk,frkma01,2020,26,LAK,RW,13,5,1,6,-1,4,0.8,4,1,0,0,1,0,0,21,23.8,175,13:28,3,9,0,0,
Michael Frolik,frolimi01,2020,31,TOT,LW,56,6,8,14,-12,28,0.5,4,0,2,1,7,0,1,69,8.7,698,12:28,22,32,6,15,28.6
Michael Frolik,frolimi01,2020,31,CGY,LW,38,5,5,10,-10,24,0.5,4,0,1,1,4,0,1,44,11.4,453,11:56,11,19,1,8,11.1
Michael Frolik,frolimi01,2020,31,BUF,LW,18,1,3,4,-2,4,0,0,0,1,0,3,0,0,25,4,245,13:37,11,13,5,7,41.7
Morgan Frost,frostmo01,2020,20,PHI,C,20,2,5,7,-3,4,0.3,1,0,1,0,5,0,0,31,6.5,274,13:41,4,4,44,49,47.3
Sam Gagner,gagnesa01,2020,30,TOT,C,39,6,7,13,-9,12,0.8,4,2,0,0,6,1,0,75,8,516,13:14,10,21,42,51,45.2
Sam Gagner,gagnesa01,2020,30,EDM,C,36,5,7,12,-9,10,0.7,4,1,0,0,6,1,0,69,7.2,470,13:04,9,19,41,46,47.1
Sam Gagner,gagnesa01,2020,30,DET,C,3,1,0,1,0,2,0.1,0,1,0,0,0,0,0,6,16.7,46,15:16,1,2,1,5,16.7
Alex Galchenyuk,galchal01,2020,25,TOT,C,55,6,15,21,-7,12,1.3,4,2,0,0,10,5,0,82,7.3,666,12:07,14,47,46,46,50
Alex Galchenyuk,galchal01,2020,25,PIT,C,45,5,12,17,-7,10,1.1,3,2,0,0,8,4,0,65,7.7,517,11:29,9,32,7,5,58.3
Alex Galchenyuk,galchal01,2020,25,MIN,C,10,1,3,4,0,2,0.2,1,0,0,0,2,1,0,17,5.9,150,14:59,5,15,39,41,48.8
Brendan Gallagher,gallabr01,2020,27,MTL,RW,56,21,20,41,9,29,5.2,20,1,0,1,16,4,0,217,9.7,948,16:56,29,49,12,17,41.4
Dylan Gambrell,gambrdy01,2020,23,SJS,C,45,5,6,11,-7,17,0.6,5,0,0,1,5,1,0,38,13.2,521,11:35,26,33,146,170,46.2
Jake Gardiner,gardija01,2020,29,CAR,D,64,3,16,19,-22,30,1.4,3,0,0,1,8,8,0,78,3.8,1075,16:48,42,43,0,0,
Rhett Gardner,gardnrh01,2020,23,DAL,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,8,0,81,10:08,2,8,25,28,47.2
Conor Garland,garlaco01,2020,23,ARI,RW,66,22,17,39,2,20,5,18,4,0,5,11,6,0,155,14.2,937,14:12,20,26,2,5,28.6
Adam Gaudette,gaudead01,2020,23,VAN,C,55,11,19,30,-8,35,2.6,7,4,0,1,11,8,0,71,15.5,689,12:31,17,28,173,255,40.4
Johnny Gaudreau,gaudrjo01,2020,26,CGY,LW,67,17,39,56,-11,12,5.1,12,5,0,2,27,12,0,199,8.5,1253,18:42,10,1,1,3,25
Brendan Gaunce,gauncbr01,2020,25,BOS,C,1,0,1,1,1,2,0.1,0,0,0,0,1,0,0,0,9,9:10,0,2,0,1,0,
Cameron Gaunce,gauncca01,2020,29,TBL,D,3,1,3,4,2,4,0.7,1,0,0,0,3,0,0,5,20,36,11:52,2,5,0,0,
Frederik Gauthier,gauthfr01,2020,24,TOR,C,57,7,5,12,-2,10,0.8,7,0,0,0,5,0,0,39,17.9,537,9:25,22,61,202,162,55.5
Julien Gauthier,gauthju01,2020,22,TOT,RW,12,0,2,2,3,8,0.1,0,0,0,0,2,0,0,6,0,94,7:51,2,14,1,2,33.3
Julien Gauthier,gauthju01,2020,22,NYR,RW,7,0,1,1,1,2,0,0,0,0,0,1,0,0,5,0,57,8:11,2,10,0,1,0
Julien Gauthier,gauthju01,2020,22,CAR,RW,5,0,1,1,2,6,0.1,0,0,0,0,1,0,0,1,0,37,7:24,0,4,1,1,50
Vladislav Gavrikov,gavrivl01,2020,24,CBJ,D,66,5,12,17,1,18,4.1,5,0,0,1,12,0,0,79,6.3,1245,18:52,87,76,0,0,
Nathan Gerbe,gerbena01,2020,32,CBJ,C,30,4,6,10,-7,22,0.6,4,0,0,0,6,0,0,55,7.3,413,13:45,8,46,6,6,50
Timothy Gettinger,gettiti01,2020,21,NYR,LW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0,17,8:23,1,5,0,2,0
Ryan Getzlaf,getzlry01,2020,34,ANA,C,63,13,27,40,-16,47,3.1,10,3,0,5,21,6,0,135,9.6,1186,18:49,61,110,476,451,51.3
Brian Gibbons,gibbobr02,2020,31,CAR,C,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,9,0,146,9:46,9,7,0,0,
Dennis Gilbert,gilbede01,2020,23,CHI,D,20,1,2,3,-8,38,0,1,0,0,0,2,0,0,12,8.3,316,15:49,33,72,0,0,
John Gilmour,gilmojo01,2020,26,BUF,D,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0,68,17:03,3,3,0,0,
Mark Giordano,giordma01,2020,36,CGY,D,57,5,25,30,3,32,5.3,3,2,0,0,14,9,2,148,3.4,1359,23:51,141,40,0,0,
Samuel Girard,girarsa01,2020,21,COL,D,65,4,29,33,0,15,4.1,3,1,0,1,18,11,0,88,4.5,1371,21:06,86,43,0,0,
Zemgus Girgensons,girgeze01,2020,26,BUF,C,65,12,7,19,2,10,1.8,11,0,1,1,7,0,0,79,15.2,892,13:43,18,104,30,43,41.1
Claude Giroux,giroucl01,2020,32,PHI,C,65,19,30,49,6,28,4.9,11,7,1,5,17,12,1,182,10.4,1237,19:02,16,44,647,445,59.2
Cody Glass,glassco01,2020,20,VEG,C,39,5,7,12,-7,6,0.6,4,1,0,1,2,5,0,51,9.8,521,13:22,6,15,60,83,42
Luke Glendening,glendlu01,2020,30,DET,C,57,6,3,9,-27,14,-0.6,5,0,1,1,3,0,0,73,8.2,874,15:20,59,145,383,290,56.9
Nikolay Goldobin,goldoni01,2020,24,VAN,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8:37,0,1,0,0,,
Alex Goligoski,goligal01,2020,34,ARI,D,67,4,28,32,7,20,6.2,2,2,0,0,19,9,0,96,4.2,1546,23:04,129,88,0,0,
Cody Goloubef,golouco01,2020,30,TOT,D,26,1,1,2,-3,8,0.4,1,0,0,0,1,0,0,18,5.6,395,15:11,24,45,0,0,
Cody Goloubef,golouco01,2020,30,OTT,D,24,1,1,2,-2,8,0.4,1,0,0,0,1,0,0,17,5.9,365,15:11,24,40,0,0,
Cody Goloubef,golouco01,2020,30,DET,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,30,15:11,0,5,0,0,
Barclay Goodrow,goodrba01,2020,26,TOT,RW,65,8,17,25,-8,84,1.5,8,0,0,2,14,2,1,98,8.2,1051,16:10,64,147,377,389,49.2
Barclay Goodrow,goodrba01,2020,26,SJS,RW,62,8,16,24,-8,80,1.5,8,0,0,2,13,2,1,94,8.5,1015,16:23,63,140,372,384,49.2
Barclay Goodrow,goodrba01,2020,26,TBL,RW,3,0,1,1,0,4,0,0,0,0,0,1,0,0,4,0,36,11:50,1,7,5,5,50
Shayne Gostisbehere,gostish01,2020,26,PHI,D,41,5,7,12,-3,20,2,4,1,0,1,3,4,0,73,6.8,752,18:21,36,14,0,0,
Yanni Gourde,gourdya01,2020,28,TBL,C,65,10,16,26,-7,42,1.6,7,1,2,5,12,4,0,108,9.3,917,14:07,19,73,91,75,54.8
Michael Grabner,grabnmi01,2020,32,ARI,RW,45,8,3,11,-3,6,1,7,0,1,0,3,0,0,59,13.6,557,12:23,12,20,0,4,0
Markus Granlund,granlma01,2020,26,EDM,C,34,3,1,4,-1,14,0.1,3,0,0,1,1,0,0,26,11.5,368,10:50,18,15,25,32,43.9
Mikael Granlund,granlmi01,2020,27,NSH,C,59,17,13,30,-1,24,2.8,12,4,1,4,11,2,0,126,13.5,1037,17:35,48,39,63,67,48.5
Derek Grant,grantde01,2020,29,TOT,C,52,15,7,22,1,30,2.8,10,2,3,5,5,0,2,87,17.2,722,13:53,24,47,343,317,52
Derek Grant,grantde01,2020,29,ANA,C,49,14,6,20,-1,28,2.4,9,2,3,4,5,0,1,81,17.3,679,13:52,20,44,323,306,51.4
Derek Grant,grantde01,2020,29,PHI,C,3,1,1,2,2,2,0.3,1,0,0,1,0,0,1,6,16.7,43,14:16,4,3,20,11,64.5
Tyler Graovac,graovty01,2020,26,VAN,C,8,2,0,2,-2,2,0.2,0,2,0,0,0,0,0,5,40,50,6:16,3,6,8,14,36.4
Kevin Gravel,graveke01,2020,27,TOR,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,11:05,3,2,0,0,
Ryan Graves,gravery01,2020,24,COL,D,64,9,17,26,44,45,7.2,9,0,0,0,15,0,2,127,7.1,1187,18:32,132,100,0,0,
Mike Green,greenmi03,2020,34,TOT,D,50,3,8,11,-34,32,0.6,2,1,0,1,5,3,0,76,3.9,1044,20:53,66,61,0,0,
Mike Green,greenmi03,2020,34,DET,D,48,3,8,11,-32,32,0.7,2,1,0,1,5,3,0,74,4.1,1011,21:04,63,58,0,0,
Mike Green,greenmi03,2020,34,EDM,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,33,16:15,3,3,0,0,
Andy Greene,greenan01,2020,37,TOT,D,59,2,11,13,3,14,3.2,2,0,0,0,8,1,2,58,3.4,1163,19:43,148,28,0,0,
Andy Greene,greenan01,2020,37,NJD,D,53,2,9,11,1,14,2.7,2,0,0,0,7,0,2,49,4.1,1066,20:07,136,27,0,0,
Andy Greene,greenan01,2020,37,NYI,D,6,0,2,2,2,0,0.5,0,0,0,0,1,1,0,9,0,97,16:10,12,1,0,0,
