Player,PlayerId,Season,Age,Tm,GP,GS,W,L,OT_SO_L,GA,SA,SV,SavePercent,GAA,SO,GPS,MIN,QualityStarts,QualityStartPercent,BadStarts,GoalSavedAboveAvg
Cory Schneider,schneco01,2019,32,NJD,26,23,6,13,4,70,718,648,0.903,3.06,1,3.4,1372,10,0.435,5,-5.29
Mike Smith,smithmi01,2019,36,CGY,42,40,23,16,2,109,1069,960,0.898,2.72,2,4.6,2400,20,0.5,9,-12.65
Garret Sparks,sparkga01,2019,25,TOR,20,17,8,9,1,58,592,534,0.902,3.15,1,2.8,1105,8,0.471,3,-4.64
Alex Stalock,staloal01,2019,31,MIN,21,16,6,8,3,53,525,472,0.899,2.99,0,2.3,1065,9,0.563,1,-5.68
Anthony Stolarz,stolaan01,2019,25,TOT,18,12,4,5,3,50,503,453,0.901,3.45,1,2.3,869,5,0.417,2,-4.66
Anthony Stolarz,stolaan01,2019,25,PHI,12,10,4,3,3,35,358,323,0.902,3.33,1,1.7,630,4,0.4,2,-2.73
Anthony Stolarz,stolaan01,2019,25,EDM,6,2,0,2,0,15,145,130,0.897,3.77,0,0.6,239,1,0.5,0,
Malcolm Subban,subbama01,2019,25,VEG,21,20,8,10,2,60,612,552,0.902,2.93,1,2.9,1227,8,0.4,3,-4.84
Cam Talbot,talboca01,2019,31,TOT,35,32,11,17,3,108,997,889,0.892,3.4,1,3.6,1906,9,0.281,10,-18.14
Cam Talbot,talboca01,2019,31,EDM,31,29,10,15,3,95,888,793,0.893,3.36,1,3.4,1695,9,0.31,9,-14.96
Cam Talbot,talboca01,2019,31,PHI,4,3,1,2,0,13,109,96,0.881,3.7,0,0.3,211,0,0,1,
Linus Ullmark,ullmali01,2019,25,BUF,37,34,15,14,5,109,1146,1037,0.905,3.11,2,5.8,2102,18,0.529,6,-5.71
Semyon Varlamov,varlasi01,2019,30,COL,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,0.51,9,-1.16
Andrei Vasilevskiy,vasilan02,2019,24,TBL,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,0.642,7,26.4
Cam Ward,wardca01,2019,34,CHI,33,29,16,12,4,115,1113,998,0.897,3.67,0,4.6,1882,15,0.517,5,-14.68
